post,account,date,year,n_char,n_words
anina.gepp_042023.txt,anina.gepp,042023,23,1878,315
anjazeidler_010823.txt,anjazeidler,010823,23,135,17
hannahmaylou_042823.txt,hannahmaylou,042823,23,581,91
endlich_zufrieden_042723.txt,endlich_zufrieden,042723,23,1612,228
xenia_stutz_042023.txt,xenia_stutz,042023,23,1717,253
milenka.emilia_020623.txt,milenka.emilia,020623,23,800,107
ninabotzen_051623.txt,ninabotzen,051623,23,1364,189
anjazeidler_050623.txt,anjazeidler,050623,23,1036,147
marenkissing_061523.txt,marenkissing,061523,23,1355,228
holly.goes.fit_052423.txt,holly.goes.fit,052423,23,941,147
melodie_michelberger_052923.txt,melodie_michelberger,052923,23,2192,307
sinem.coaching_041123.txt,sinem.coaching,041123,23,2149,283
talisaminoush_031023.txt,talisaminoush,031023,23,1228,174
anjazeidler_021423.txt,anjazeidler,021423,23,846,134
dr.med.mareike.awe_070323.txt,dr.med.mareike.awe,070323,23,1677,263
charlotte_weise_021723.txt,charlotte_weise,021723,23,587,88
male.geers_051923.txt,male.geers,051923,23,888,156
dr.med.mareike.awe_061923.txt,dr.med.mareike.awe,061923,23,1618,238
morenadiaz_060523.txt,morenadiaz,060523,23,392,37
marenkissing_070923.txt,marenkissing,070923,23,652,91
holly.goes.fit_012123.txt,holly.goes.fit,012123,23,540,71
janine.imfeld_032823.txt,janine.imfeld,032823,23,1332,185
rebeccachelbea_040223.txt,rebeccachelbea,040223,23,1256,166
alexa_katharina_061923.txt,alexa_katharina,061923,23,314,42
anina.gepp_012523.txt,anina.gepp,012523,23,1512,254
rebeccachelbea_062723.txt,rebeccachelbea,062723,23,499,61
anina.gepp_052923.txt,anina.gepp,052923,23,1160,201
marenkissing_042423.txt,marenkissing,042423,23,1919,269
dr.med.mareike.awe_053023.txt,dr.med.mareike.awe,053023,23,1548,228
fit.by.leni_051823.txt,fit.by.leni,051823,23,1144,186
marenkissing_031723.txt,marenkissing,031723,23,629,103
anjazeidler_020323.txt,anjazeidler,020323,23,377,53
anina.gepp_022723.txt,anina.gepp,022723,23,1117,186
angeliquelini_011523.txt,angeliquelini,011523,23,1005,126
endlich_zufrieden_012523.txt,endlich_zufrieden,012523,23,311,36
lebenliebeschnaps_060923.txt,lebenliebeschnaps,060923,23,624,96
holly.goes.fit_051323.txt,holly.goes.fit,051323,23,909,140
janine.imfeld_042423.txt,janine.imfeld,042423,23,431,63
